*,PA3
a,EY
alarm,AX LL AR MM
alan,AE DELAY100 EL EH DELAY100 DELAY100 NN1
april,EY PA3 PP RR2 IH IH LL
ate,EY PA3 TT2
august,AO AO PA2 GG2 AX SS PA3 TT1
b,BB2 IY
bathe,BB2 EY DH2
bather,BB2 EY DH2 ER1
bathing,BB2 EY DH2 IH NG
beer,BB2 YR
bread,BB1 RR2 EH EH PA1 DD1
by,BB2 AA AY
c,SS SS IY
calendar,KK1 AE AE LL EH NN1 PA2 DD2 ER1
check,CH EH EH PA3 KK2
checked,CH EH EH PA3 KK2 PA2 TT2
checker,CH EH EH PA3 KK1 ER1
checkers,CH EH EH PA3 KK1 ER1 ZZ
checking,CH EH EH PA3 KK1 IH NG
checks,CH EH EH PA3 KK1 SS
chillax,CH IH PA3 LL DELAY100 DELAY100 PA1 AE KK1 SS
clay,KK1 LL EY DELAY100
clock,KK1 LL AA AA PA3 KK2
clown,KK1 LL AW NN1
cognitive,KK3 AA AA GG3 NN1 IH PA3 TT2 IH VV
collide,KK3 AX LL AY DD1
computer,KK1 AX MM PP YY1 UW1 TT2 ER1
cookie,KK3 UH KK1 IY
coop,KK3 UW2 PA3 PP
correct,KK1 ER2 EH EH PA2 KK2 PA2 TT1
corrected,KK1 ER2 EH EH PA2 KK2 PA2 TT2 IH PA2 DD1
correcting,KK1 ER2 EH EH PA2 KK2 PA2 TT2 IH NG
corrects,KK1 ER2 EH EH PA2 KK2 PA2 TT1 SS
crown,KK1 RR2 AW NN1
d,DD2 IY
date,DD2 EY PA3 TT2
daughter,DD2 AO TT2 ER1
day,DD2 EH EY
december,DD2 IY SS SS EH EH MM PA1 BB2 ER1
divided,DD2 IH VV AY PA2 DD2 IH PA2 DD1
dude,DD2 UW2 DELAY100 DELAY100 DELAY100 DELAY100 DD2
e,IY
eight,EY PA3 TT2
eighteen,EY PA2 PA3 TT2 IY NN1
eighty,EY PA3 TT2 IY
eleven,IH LL EH EH VV IH NN1
emotional,IY MM OW SH AX NN1 AX EL
engage,EH EH PA1 NN1 GG1 EY PA2 JH
engagement,EH EH PA1 NN1 GG1 EY PA2 JH MM EH EH NN1 PA2 PA3 TT2
engages,EH EH PA1 NN1 GG1 EY PA2 JH IH ZZ
engaging,EH EH PA1 NN1 GG1 EY PA2 JH IH NG
enrage,EH NN1 RR1 EY PA2 JH
enraged,EH NN1 RR1 EY PA2 JH PA2 DD1
enrages,EH NN1 RR1 EY PA2 JH IH ZZ
enraging,EH NN1 RR1 EY PA2 JH IH NG
escape,EH SS SS PA3 KK1 PA2 EY PP
escaped,EH SS SS PA3 KK1 PA2 EY PP PA2 TT2
escapes,EH SS SS PA3 KK1 PA2 EY PP SS
escaping,EH SS SS PA3 KK1 PA2 EY PP IH NG
equal,IY PA2 PA3 KK3 WH AX EL
equals,IY PA2 PA3 KK3 WH AX EL ZZ
error,EH XR OR
extend,EH KK1 SS TT2 EH EH NN1 DD1
f,EH EH FF FF
february,FF EH EH PA1 BB1 RR2 UW2 XR IY
fifteen,FF IH FF PA2 PA3 TT2 IY NN1
fifty,FF FF IH FF FF PA2 PA3 TT2 IY
fir,FF ER2
five,FF FF AY VV
for,FF FF OR
fore,FF FF OR
forty,FF OR PA3 TT2 IY
four,FF FF OR
fourteen,FF OR PA2 PA3 TT2 IY NN1
freeze,FF FF RR1 IY ZZ
freezer,FF FF RR1 IY ZZ ER1
freezers,FF FF RR1 IY ZZ ER1 ZZ
freezing,FF FF RR1 IY ZZ IH NG
friday,FF RR2 AY PA2 DD2 EY
frozen,FF FF RR1 OW ZZ EH NN1
g,JH IY
gauge,GG1 EY PA2 JH
gauged,GG1 EY PA2 JH PA2 DD1
gauges,GG1 EY PA2 JH IH ZZ
gauging,GG1 EY PA2 JH IH NG
h,EY PA2 PA3 CH
hello,HH2 EH LL AX OW
hour,AW ER1
hundred,HH2 AX AX NN1 PA2 DD2 RR2 IH IH PA1 DD1
i,AA AY
infinitive,IH NN1 FF FF IH IH NN1 IH PA2 PA3 TT2 IH VV
intrigued,IH NN1 PA3 TT2 RR2 IY PA1 GG3 PA2 DD1
intrigues,IH NN1 PA3 TT2 RR2 IY PA1 GG3 ZZ
intriguing,IH NN1 PA3 TT2 RR2 IY PA1 GG3 IH NG
investigated,IH IH NN1 VV EH EH SS PA2 PA3 TT2 IH PA1 GG1 EY PA2 TT2 IH PA2 DD1
investigator,IH IH NN1 VV EH EH SS PA2 PA3 TT2 IH PA1 GG1 EY PA2 TT2 ER1
investigators,IH IH NN1 VV EH EH SS PA2 PA3 TT2 IH PA1 GG1 EY PA2 TT2 ER1 ZZ
investigates,IH IH NN1 VV EH EH SS PA2 PA3 TT2 IH PA1 GG1 EY PA2 TT1 SS
investigating,IH IH NN1 VV EH EH SS PA2 PA3 TT2 IH PA1 GG1 EY PA2 TT2 IH NG
j,JH EH EY
january,JH AE AE NN1 YY2 XR IY
jorge,JH DELAY100 OR JH DELAY100
july,JH UW1 LL AY
june,JH UW2 NN1
k,KK1 EH EY
key,KK1 IY
kurt,KK1 ER1 DELAY100 TT1
l,EH EH EL
legislate,LL EH EH PA2 JH JH SS SS LL EY PA2 PA3 TT2
legislated,LL EH EH PA2 JH JH SS SS LL EY PA2 PA3 TT2 IH DD1
legislates,LL EH EH PA2 JH JH SS SS LL EY PA2 PA3 TT1 SS
legislating,LL EH EH PA2 JH JH SS SS LL EY PA2 PA3 TT2 IH NG
legislature,LL EH EH PA2 JH JH SS SS LL EY PA2 PA3 CH ER1
letter,LL EH EH PA3 TT2 ER1
litter,LL IH IH PA3 TT2 ER1
little,LL IH IH PA3 TT2 EL
m,EH EH MM
march,MM AR PA3 CH
may,MM EY
memory,MM EH EH MM ER2 IY
memories,MM EH EH MM ER2 IY ZZ
million,MM IH IH LL YY1 AX NN1
minute,MM IH NN1 IH PA3 TT2
monday,MM AX AX NN1 PA2 DD2 EY
month,MM AX NN1 TH
n,EH EH NN1
nine,NN1 AA AY NN1
nineteen,NN1 AY NN1 PA2 PA3 TT2 IY NN1
ninety,NN1 AY NN1 PA3 TT2 IY
nip,NN1 IH IH PA2 PA3 PP
nipped,NN1 IH IH PA2 PA3 PP PA3 TT2
nipping,NN1 IH IH PA2 PA3 PP IH NG
nips,NN1 IH IH PA2 PA3 PP SS
no,NN2 AX OW
none,NN2 NN1 DELAY100 DELAY100 DELAY100 DELAY100
november,NN2 OW VV EH EH MM PA1 BB2 ER1
o,OW
october,AA PA2 KK2 PA3 TT2 OW PA1 BB2 ER1
one,WW AX AX NN1
p,PP IY
pass,PP AE SS SS
physical,FF FF IH ZZ IH PA3 KK1 AX EL
pin,PP IH IH NN1
pinned,PP IH IH NN1 PA2 DD1
pinning,PP IH IH NN1 IH NN1
pins,PP IH IH NN1 ZZ
pledge,PP LL EH EH PA3 JH
pledged,PP LL EH EH PA3 JH PA2 DD1
pledges,PP LL EH EH PA3 JH IH ZZ
pledging,PP LL EH EH PA3 JH IH NG
plus,PP LL AX AX SS SS
q,KK1 YY1 UW2
r,AR
ray,RR1 EH EY
rays,RR1 EH EY ZZ
ready,RR1 EH EH PA1 DD2 IY
red,RR1 EH EH PA1 DD1
robot,RR1 OW PA2 BB2 AA PA3 TT2
robots,RR1 OW PA2 BB2 AA PA3 TT1 SS
s,EH EH SS SS
saturday,SS SS AE PA3 TT2 PA2 DD2 EY
score,SS SS PA3 KK3 OR
second,SS SS EH PA3 KK1 IH NN1 PA2 DD1
sensitive,SS SS EH EH NN1 SS SS IH PA2 PA3 TT2 IH VV
sensitivity,SS SS EH EH NN1 SS SS IH PA2 PA3 TT2 IH VV IH PA2 PA3 TT2 IY
september,SS SS EH PA3 PP PA3 TT2 EH EH PA1 BB2 ER1
seven,SS SS EH EH VV IH NN1
seventeen,SS SS EH VV TH NN1 PA2 PA3 TT2 IY NN1
seventy,SS SS EH VV IH NN1 PA2 PA3 TT2 IY
shall,SH DELAY100 AE LL 
sincere,SS SS IH IH NN1 SS SS YR
sincerely,SS SS IH IH NN1 SS SS EH EH RR1 IH PA2 PA3 TT2 IY
sister,SS SS IH IH SS PA3 TT2 ER1
six,SS SS IH IH PA3 KK2 SS
sixteen,SS SS IH PA3 KK2 SS PA2 PA3 TT2 IY NN1
sixty,SS SS IH PA3 KK2 SS PA2 PA3 TT2 IY
speak,SS SS PA3 IY PA3 KK2
spell,SS SS PA3 PP EH EH EL
spelled,SS SS PA3 PP EH EH EL PA3 DD1
speller,SS SS PA3 PP EH EH EL ER2
spellers,SS SS PA3 PP EH EH EL ER2 ZZ
spelling,SS SS PA3 PP EH EH EL IH NG
spells,SS SS PA3 PP EH EH EL ZZ
start,SS SS PA3 TT2 AR PA3 TT2
started,SS SS PA3 TT2 AR PA3 TT2 IH PA1 DD2
starter,SS SS PA3 TT2 AR PA3 TT2 ER1
starting,SS SS PA3 TT2 AR PA3 TT2 IH NG
starts,SS SS PA3 TT2 AR PA3 TT1 SS
stop,SS SS PA3 TT1 AA AA PA3 PP
stopped,SS SS PA3 TT1 AA AA PA3 PP PA3 TT2
stopper,SS SS PA3 TT1 AA AA PA3 PP ER1
stopping,SS SS PA3 TT1 AA AA PA3 PP IH NG
stops,SS SS PA3 TT1 AA AA PA3 PP SS
subject,SS SS AX AX PA2 BB1 PA2 JH EH PA3 KK2 PA3 TT2
subject,SS SS AX PA2 BB1 PA2 JH EH EH PA3 KK2 PA3 TT2
sunday,SS SS AX AX NN1 PA2 DD2 EY
sweat,SS SS WW EH EH PA3 TT2
sweated,SS SS WW EH EH PA3 TT2 IH PA3 DD1
sweater,SS SS WW EH EH PA3 TT2 ER1
sweaters,SS SS WW EH EH PA3 TT2 ER1 ZZ
sweating,SS SS WW EH EH PA3 TT2 IH NG
sweats,SS SS WW EH EH PA3 TT2 SS
sweet,SS WW IY DELAY100 DELAY100 DELAY100 DELAY100 DELAY100 PA3 TT2
switch,SS SS WH IH IH PA3 CH
switched,SS SS WH IH IH PA3 CH PA3 TT2
switches,SS SS WH IH IH PA3 CH IH ZZ
switching,SS SS WH IH IH PA3 CH IH NG
system,SS SS IH IH SS SS PA3 TT2 EH MM
systems,SS SS IH IH SS SS PA3 TT2 EH MM ZZ
t,TT2 IY
talk,TT2 AO AO PA2 KK2
talked,TT2 AO AO PA3 KK2 PA3 TT2
talker,TT2 AO AO PA3 KK1 ER1
talkers,TT2 AO AO PA3 KK1 ER1 ZZ
talking,TT2 AO AO PA3 KK1 IH NG
talks,TT2 AO AO PA2 KK2 SS
ten,TT2 EH EH NN1
thirteen,TH ER1 PA2 PA3 TT2 IY NN1
thirty,TH ER2 PA2 PA3 TT2 IY
thousand,TH AA AW ZZ TH PA1 PA1 NN1 DD1
three,TH RR1 IY
thursday,TH ER2 ZZ PA2 DD2 EY
thread,TH RR1 EH EH PA2 DD1
threaded,TH RR1 EH EH PA2 DD2 IH PA2 DD1
threader,TH RR1 EH EH PA2 DD2 ER1
threaders,TH RR1 EH EH PA2 DD2 ER1 ZZ
threading,TH RR1 EH EH PA2 DD2 IH NG
threads,TH RR1 EH EH PA2 DD2 ZZ
then,DH1 EH EH NN1
time,TT2 AA AY MM
times,TT2 AA AY MM ZZ
to,TT2 UW2
too,TT2 UW2
tuesday,TT2 UW2 ZZ PA2 DD2 EY
twelve,TT2 WH EH EH LL VV
twenty,TT2 WH EH EH NN1 PA2 PA3 TT2 IY
two,TT2 UW2
u,YY1 UW2
uncle,AX NG PA3 KK3 EL
v,VV IY
w,DD2 AX PA2 BB2 EL YY1 UW2
wednesday,WW EH EH NN1 ZZ PA2 DD2 EY
whale,WW EY EL
whaler,WW EY LL ER1
whalers,WW EY LL ER1 ZZ
whales,WW EY EL ZZ
whaling,WW EY LL IH NG
x,EH EH PA3 KK2 SS SS
y,WW AY
year,YY2 YR
yes,YY2 EH EH SS SS
z,ZZ IY
zero,ZZ YR OW
